,a,p,q,num_vol,rolling,distance_threshold,retrace_threshold,offset_threshold,duration,average_holding_duration,profit,return,max_drawDown,caimar_ratio,trade_times,win_rate,profit_factor,sharp_ratio
42,0.1,1,1,1,20,0.01,0.12999999999999998,0.01,361,6.142857142857143,-26059.5703125,-0.026059570312499947,0.24238096489723415,-0.10751492108115342,21,0.38095238095238093,0.9522700735775999,-0.0001880090220899304
43,0.1,1,1,1,20,0.01,0.12999999999999998,0.025,361,12.583333333333334,-318265.4296875,-0.31826542968750005,0.43505528169133767,-0.731551697177883,12,0.25,0.4961886084610264,-0.06285300284670951
44,0.1,1,1,1,20,0.01,0.12999999999999998,0.04,361,53.25,314556.25,0.3145562500000001,0.22302944693137638,1.4103799042141079,4,0.5,3.192796641900273,0.05661037876125095
45,0.1,1,1,1,20,0.01,0.12999999999999998,0.05500000000000001,361,55.75,150680.2734375,0.1506802734374999,0.3134866375378309,0.48065931811628215,4,0.5,1.7182024342153035,0.02699665568662733
46,0.1,1,1,1,20,0.01,0.12999999999999998,0.07,361,121.0,549838.28125,0.54983828125,0.21184185398347732,2.595512977774849,2,0.5,,0.09332376700567534
47,0.1,1,1,1,20,0.01,0.12999999999999998,0.085,361,122.0,444958.203125,0.4449582031249999,0.2891794027311668,1.538692586410283,2,0.5,,0.07403011530999687
48,0.1,1,1,1,20,0.01,0.12999999999999998,0.1,361,122.0,444958.203125,0.4449582031249999,0.2891794027311668,1.538692586410283,2,0.5,,0.07403011530999687
49,0.1,1,1,1,20,0.03,0.01,0.01,361,6.62962962962963,223816.2109375,0.22381621093749993,0.24259572658616524,0.9225892561549505,27,0.4074074074074074,1.2053976576649195,0.04887601771307612
50,0.1,1,1,1,20,0.03,0.01,0.025,361,13.4,-59169.7265625,-0.05916972656249997,0.3750682959856376,-0.1577572063429369,15,0.3333333333333333,0.7870931680657566,-0.0074392804322692685
51,0.1,1,1,1,20,0.03,0.01,0.04,361,39.333333333333336,622883.59375,0.6228835937499999,0.1550695748417521,4.016800809479553,6,0.6666666666666666,7.623326589601206,0.10523544479692151
52,0.1,1,1,1,20,0.03,0.01,0.05500000000000001,361,47.8,475431.8359375,0.47543183593750005,0.19036165660210613,2.497518903879091,5,0.8,5.909970167557875,0.07941712173568584
